====================================================================================================
MONITEUR RADIO — 2026-08-04 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 32 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:21  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:26  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   17:59:49  🔇 bascule sur jingle d'erreur (silence potentiel)
   23:34:17  🌐 échec réseau AzuraCast/Liquidsoap  (×26)
RESET MINUIT : restart confirmé vers 00:02:03 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:32  TROU 100s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:26 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   19:02:25  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:09  COUPÉ 18s « All in All - CHF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-04 (heures UTC)
266 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
05:43:27 BLOC_A_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Where Two or Three are Gathered - Calabar HF
05:49:16 BLOC_A_SERIE_DU_JOUR              0m12s      0m12s      +0s  ✅  jingle id station 03 notre mission annonce levangile
05:49:28 BLOC_A_SERIE_DU_JOUR              7m35s      7m32s      -3s  ✅  Luc 7
05:57:00 BLOC_A_SERIE_DU_JOUR              8m38s      8m42s      +4s  ✅  Luc 8
06:05:42 BLOC_B_SERIE_DU_JOUR           1h02m06s   1h02m03s      -3s  ✅  2
07:07:45 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
07:07:53 BLOC_B_SERIE_DU_JOUR              8m34s      8m31s      -3s  ✅  1 Corinthiens 15
07:16:24 BLOC_B_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  1 Corinthiens 16
07:19:29 BLOC_B_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  2 Timothée 3
07:22:03 BLOC_B_SERIE_DU_JOUR              3m09s      3m07s      -2s  ✅  2 Timothée 4
07:25:10 BLOC_B_SERIE_DU_JOUR              3m37s      3m34s      -3s  ✅  Ésaïe 9
07:28:44 BLOC_B_SERIE_DU_JOUR              5m32s      5m30s      -2s  ✅  Ésaïe 10
07:34:14 BLOC_B_SERIE_DU_JOUR              2m58s      2m55s      -3s  ✅  Ésaïe 11
07:37:09 BLOC_B_SERIE_DU_JOUR              1m01s      0m59s      -2s  ✅  Ésaïe 12
07:38:08 BLOC_B_SERIE_DU_JOUR              3m21s      3m18s      -3s  ✅  Ésaïe 13
07:41:26 BLOC_B_SERIE_DU_JOUR              4m58s      4m55s      -3s  ✅  Ésaïe 14
07:46:21 BLOC_B_SERIE_DU_JOUR              1m37s      1m35s      -2s  ✅  Ésaïe 15
07:47:56 BLOC_B_SERIE_DU_JOUR              2m26s      2m23s      -3s  ✅  Ésaïe 16
07:50:19 BLOC_B_SERIE_DU_JOUR              2m30s      2m28s      -2s  ✅  Ésaïe 17
07:52:47 BLOC_B_SERIE_DU_JOUR              1m36s      1m33s      -3s  ✅  Ésaïe 18
07:54:20 BLOC_B_SERIE_DU_JOUR              4m12s      4m10s      -2s  ✅  Ésaïe 19
07:58:30 BLOC_B_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
07:58:38 BLOC_B_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  cantique  heureux l homme qui ne marche pas selon
08:00:55 BLOC_B_SERIE_DU_JOUR              6m30s      6m28s      -2s  ✅  Praise the Lord of Host - Toronto HF
08:07:23 BLOC_B_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  cantique   prends tout le contrôle
08:12:13 BLOC_B_SERIE_DU_JOUR              6m59s      6m56s      -3s  ✅  Hosanna - Toronto HF
08:19:09 BLOC_B_SERIE_DU_JOUR              6m35s      6m33s      -2s  ✅  cantique   ta lumière
08:25:42 BLOC_B_SERIE_DU_JOUR              7m57s      7m55s      -2s  ✅  Yahweh is Mighty (Imah Adegoke)
08:33:37 BLOC_B_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  qui est digne d ouvrir le livre
08:40:32 BLOC_B_SERIE_DU_JOUR              5m47s      5m44s      -3s  ✅  We Ascribe Greatness - Abuja HF
08:46:16 BLOC_B_SERIE_DU_JOUR              5m33s      5m30s      -3s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
08:51:46 BLOC_B_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
08:51:53 BLOC_B_SERIE_DU_JOUR              3m16s      3m13s      -3s  ✅  1 Timothée 1
08:55:06 BLOC_B_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  1 Timothée 2
08:57:13 BLOC_B_SERIE_DU_JOUR              2m24s      2m22s      -2s  ✅  1 Timothée 3
08:59:35 BLOC_B_SERIE_DU_JOUR              2m29s      2m26s      -3s  ✅  1 Timothée 4
09:02:01 BLOC_B_SERIE_DU_JOUR              3m45s      3m43s      -2s  ✅  1 Timothée 5
09:05:44 BLOC_B_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  1 Timothée 6
09:09:34 BLOC_B_SERIE_DU_JOUR              7m48s      7m46s      -2s  ✅  Nombres 16
09:17:20 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
09:17:30 BLOC_B_SERIE_DU_JOUR              7m20s      7m17s      -3s  ✅  The Glory -  PHF
09:24:47 BLOC_B_SERIE_DU_JOUR              5m43s      5m41s      -2s  ✅  Cantique l Éternel est mon Berger (1)
09:30:28 BLOC_B_SERIE_DU_JOUR              4m48s      4m47s      -1s  ✅  Yeshua I'm Waiting for You  - Ketu HF
09:35:15 BLOC_B_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
09:39:33 BLOC_B_SERIE_DU_JOUR              9m39s      9m36s      -3s  ✅  Psalm 93 - Port Harcourt HF
09:49:09 BLOC_B_SERIE_DU_JOUR              7m04s      7m01s      -3s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
09:56:10 BLOC_B_SERIE_DU_JOUR             10m47s     10m45s      -2s  ✅  Abba, Singing a, I Will Sing - Ketu HF
10:06:55 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
10:07:05 BLOC_B_SERIE_DU_JOUR              4m15s      4m13s      -2s  ✅  Philippiens 1
10:11:18 BLOC_B_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  Philippiens 2
10:15:43 BLOC_B_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Philippiens 3
10:19:07 BLOC_B_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Philippiens 4
10:22:43 BLOC_B_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Galates 1
10:25:58 BLOC_B_SERIE_DU_JOUR              4m08s      4m05s      -3s  ✅  Galates 2
10:30:03 BLOC_B_SERIE_DU_JOUR              4m50s      4m48s      -2s  ✅  Galates 3
10:34:51 BLOC_B_SERIE_DU_JOUR              4m30s      4m27s      -3s  ✅  Galates 4
10:39:18 BLOC_B_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Galates 5
10:43:20 BLOC_B_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Galates 6
10:46:03 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
10:46:11 BLOC_B_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  Praise the Lord All Ye Nations - Toronto HF
10:52:21 BLOC_B_SERIE_DU_JOUR              8m25s      8m22s      -3s  ✅  The Mountains, Come and, Oh City - Ketu HF
11:00:43 BLOC_B_SERIE_DU_JOUR              9m31s      9m29s      -2s  ✅  15 at 01.33.50 (1)(1)
11:10:12 BLOC_B_SERIE_DU_JOUR              7m51s      7m47s      -4s  ✅  There is no name  - Winnipeg Fellowship
11:17:59 BLOC_B_SERIE_DU_JOUR              8m58s      8m55s      -3s  ✅  El Elyon - Toronto & Winnipeg HF
11:26:54 BLOC_B_SERIE_DU_JOUR              5m28s      5m26s      -2s  ✅  même humilié
11:32:20 BLOC_B_SERIE_DU_JOUR              8m41s      8m38s      -3s  ✅  Unto Him (Vincent Opara)
11:40:58 BLOC_B_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
11:41:08 BLOC_B_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Amos 1
11:43:45 BLOC_B_SERIE_DU_JOUR              2m30s      2m28s      -2s  ✅  Amos 2
11:46:13 BLOC_B_SERIE_DU_JOUR              2m19s      2m17s      -2s  ✅  Amos 3
11:48:30 BLOC_B_SERIE_DU_JOUR              2m44s      2m41s      -3s  ✅  Amos 4
11:51:11 BLOC_B_SERIE_DU_JOUR              4m01s      3m59s      -2s  ✅  Amos 5
11:55:10 BLOC_B_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Amos 6
11:57:29 BLOC_B_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
11:57:38 BLOC_B_SERIE_DU_JOUR              7m21s      7m19s      -2s  ✅  For By My God - Toronto & Winnipeg HF
12:04:57 BLOC_C_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant message 04 bienvenue sur parole prophetique fm
12:05:04 BLOC_C_SERIE_DU_JOUR           1h02m06s   1h02m03s      -3s  ✅  2
13:07:07 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
13:07:15 BLOC_C_SERIE_DU_JOUR              2m07s      2m04s      -3s  ✅  2 Jean 1
13:09:19 BLOC_C_SERIE_DU_JOUR              2m56s      2m55s      -1s  ✅  Sophonie 1
13:12:14 BLOC_C_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Sophonie 2
13:14:57 BLOC_C_SERIE_DU_JOUR              3m46s      3m43s      -3s  ✅  Sophonie 3
13:18:40 BLOC_C_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  Tite 1
