====================================================================================================
MONITEUR RADIO — 2026-07-23 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 295 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:20  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:20  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:26  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:31:54  🌐 échec réseau AzuraCast/Liquidsoap  (×288)
RESET MINUIT : restart confirmé vers 00:02:02 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:32  TROU 106s « jingle avant message 01 voici le message du jour »
          ↳ cause probable 00:01:26 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:11  COUPÉ 192s « 15 at 01.33.50 (1)(1) »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-07-23 (heures UTC)
310 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
04:21:06 BLOC_A_SERIE_DU_JOUR              1m50s      1m47s      -3s  ✅  Ecclésiaste 6
04:22:53 BLOC_A_SERIE_DU_JOUR              3m44s      3m41s      -3s  ✅  Ecclésiaste 7
04:26:34 BLOC_A_SERIE_DU_JOUR              2m51s      2m49s      -2s  ✅  Ecclésiaste 8
04:29:23 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
04:29:33 BLOC_A_SERIE_DU_JOUR              7m21s      7m19s      -2s  ✅  For By My God - Toronto & Winnipeg HF
04:36:52 BLOC_A_SERIE_DU_JOUR              9m38s      9m35s      -3s  ✅  Holy are You oh Lord (Olaedo Uzoma & Vincent Opara)
04:46:27 BLOC_A_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  cantique  ta bonte
04:52:31 BLOC_A_SERIE_DU_JOUR              6m07s      6m05s      -2s  ✅  There Is Forgiveness In Thee - SWBN TV
04:58:36 BLOC_A_SERIE_DU_JOUR              6m59s      6m56s      -3s  ✅  Hosanna - Toronto HF
05:05:32 BLOC_A_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  You're the Lamb (Abasiama Timothy)
05:12:39 BLOC_A_SERIE_DU_JOUR             10m25s     10m23s      -2s  ✅  Holy Are You - PHF
05:23:02 BLOC_A_SERIE_DU_JOUR              9m24s      9m21s      -3s  ✅  I See Your Face - Toronto HF
05:32:23 BLOC_A_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
05:32:32 BLOC_A_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
05:35:37 BLOC_A_SERIE_DU_JOUR              5m41s      5m39s      -2s  ✅  Joël 2
05:41:16 BLOC_A_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Joël 3
05:44:49 BLOC_A_SERIE_DU_JOUR              9m17s      9m15s      -2s  ✅  Luc 1
05:54:04 BLOC_A_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  JINGLE
05:54:13 BLOC_A_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  Good God - Asaba Fellowship
06:00:17 BLOC_B_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant message 04 bienvenue sur parole prophetique fm
06:00:24 BLOC_B_SERIE_DU_JOUR             13m15s     13m12s      -3s  ✅  wa0002 2
06:13:36 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
06:13:47 BLOC_B_SERIE_DU_JOUR              2m25s      2m22s      -3s  ✅  Job 14
06:16:09 BLOC_B_SERIE_DU_JOUR              3m21s      3m18s      -3s  ✅  Job 15
06:19:27 BLOC_B_SERIE_DU_JOUR              2m15s      2m13s      -2s  ✅  Job 16
06:21:40 BLOC_B_SERIE_DU_JOUR              1m36s      1m33s      -3s  ✅  Job 17
06:23:13 BLOC_B_SERIE_DU_JOUR              2m02s      2m01s      -1s  ✅  Job 18
06:25:14 BLOC_B_SERIE_DU_JOUR              3m05s      3m01s      -4s  ✅  Job 19
06:28:15 BLOC_B_SERIE_DU_JOUR              2m59s      2m57s      -2s  ✅  Job 20
06:31:12 BLOC_B_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  Job 21
06:34:22 BLOC_B_SERIE_DU_JOUR              2m37s      2m35s      -2s  ✅  Job 22
06:36:57 BLOC_B_SERIE_DU_JOUR              1m43s      1m40s      -3s  ✅  Job 23
06:38:37 BLOC_B_SERIE_DU_JOUR              2m52s      2m50s      -2s  ✅  Job 24
06:41:27 BLOC_B_SERIE_DU_JOUR              0m36s      0m33s      -3s  ✅  Job 25
06:42:00 BLOC_B_SERIE_DU_JOUR              1m13s      1m11s      -2s  ✅  Job 26
06:43:11 BLOC_B_SERIE_DU_JOUR              2m12s      2m09s      -3s  ✅  Job 27
06:45:20 BLOC_B_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  Job 28
06:48:05 BLOC_B_SERIE_DU_JOUR              2m20s      2m18s      -2s  ✅  Job 29
06:50:23 BLOC_B_SERIE_DU_JOUR              3m11s      3m08s      -3s  ✅  Job 30
06:53:31 BLOC_B_SERIE_DU_JOUR              3m56s      3m53s      -3s  ✅  Job 31
06:57:24 BLOC_B_SERIE_DU_JOUR              2m21s      2m19s      -2s  ✅  Job 32
06:59:43 BLOC_B_SERIE_DU_JOUR              3m04s      3m01s      -3s  ✅  Job 33
07:02:44 BLOC_B_SERIE_DU_JOUR              3m32s      3m30s      -2s  ✅  Job 34
07:06:14 BLOC_B_SERIE_DU_JOUR              1m32s      1m29s      -3s  ✅  Job 35
07:07:43 BLOC_B_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Job 36
07:10:36 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
07:10:44 BLOC_B_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  jai donné ma vie à jésus (1)
07:14:52 BLOC_B_SERIE_DU_JOUR             11m54s     11m52s      -2s  ✅  Great & Marvelluos - Toronto HF
07:26:44 BLOC_B_SERIE_DU_JOUR              5m52s      5m50s      -2s  ✅  Not Naked (Abasiama Timothy)
07:32:34 BLOC_B_SERIE_DU_JOUR              7m17s      7m15s      -2s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
07:39:49 BLOC_B_SERIE_DU_JOUR              4m33s      4m30s      -3s  ✅  God is Building - Will You Be - Ketu HF
07:44:19 BLOC_B_SERIE_DU_JOUR              4m19s      4m16s      -3s  ✅  I Know The Blood - PHF
07:48:35 BLOC_B_SERIE_DU_JOUR              8m12s      8m10s      -2s  ✅  Jesus is Alpha - PHF
07:56:45 BLOC_B_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  Awaken My Heart
08:00:01 BLOC_B_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
08:03:11 BLOC_B_SERIE_DU_JOUR              6m02s      6m01s      -1s  ✅  Rejoice - PHF
08:09:12 BLOC_B_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
08:09:19 BLOC_B_SERIE_DU_JOUR              2m38s      2m35s      -3s  ✅  Zacharie 12
08:11:54 BLOC_B_SERIE_DU_JOUR              1m43s      1m41s      -2s  ✅  Zacharie 13
08:13:35 BLOC_B_SERIE_DU_JOUR              4m06s      4m03s      -3s  ✅  Zacharie 14
08:17:38 BLOC_B_SERIE_DU_JOUR              3m42s      3m39s      -3s  ✅  2 Pierre 1
08:21:17 BLOC_B_SERIE_DU_JOUR              4m04s      4m01s      -3s  ✅  2 Pierre 2
08:25:18 BLOC_B_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  2 Pierre 3
08:28:33 BLOC_B_SERIE_DU_JOUR              3m12s      3m09s      -3s  ✅  Proverbes 1
08:31:42 BLOC_B_SERIE_DU_JOUR              1m57s      1m54s      -3s  ✅  Proverbes 2
08:33:36 BLOC_B_SERIE_DU_JOUR              3m04s      3m01s      -3s  ✅  Proverbes 3
08:36:37 BLOC_B_SERIE_DU_JOUR              2m27s      2m34s      +7s  ✅  Proverbes 4
08:39:11 BLOC_B_SERIE_DU_JOUR              6m54s      6m51s      -3s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
08:46:02 BLOC_B_SERIE_DU_JOUR              6m56s      6m54s      -2s  ✅  As We Worship In Ypur Presence
08:52:56 BLOC_B_SERIE_DU_JOUR              9m04s      9m01s      -3s  ✅  You're the Lamb - Calabar HF
09:01:57 BLOC_B_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
09:06:15 BLOC_B_SERIE_DU_JOUR              7m20s      7m17s      -3s  ✅  The Glory -  PHF
09:13:32 BLOC_B_SERIE_DU_JOUR              4m40s      4m38s      -2s  ✅  All in All - CHF
09:18:10 BLOC_B_SERIE_DU_JOUR              7m36s      7m33s      -3s  ✅  There Is No Lie - SWBN TV
09:25:43 BLOC_B_SERIE_DU_JOUR             11m53s     11m57s      +4s  ✅  Hashem - PHF
09:37:40 BLOC_B_SERIE_DU_JOUR              2m04s      2m01s      -3s  ✅  Nahum 2
