Rapport de diffusion — 2026-07-14 (heures UTC)
317 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
05:39:05 BLOC_A_SERIE_DU_JOUR              2m59s      2m56s      -3s  ✅  2 Timothée 1
05:42:01 BLOC_A_SERIE_DU_JOUR              3m52s      3m50s      -2s  ✅  2 Timothée 2
05:45:51 BLOC_A_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  2 Timothée 3
05:48:25 BLOC_A_SERIE_DU_JOUR              3m09s      3m07s      -2s  ✅  2 Timothée 4
05:51:32 BLOC_A_SERIE_DU_JOUR              7m15s      7m12s      -3s  ✅  2 Rois 18
05:58:44 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
05:58:54 BLOC_A_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  cantique  nous sommes le sel de la terre
06:01:07 BLOC_B_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant message 05 vous etes a lecoute de levangile du royaume
06:01:15 BLOC_B_SERIE_DU_JOUR             13m20s     13m18s      -2s  ✅  2020 tian le pardon 4
06:14:33 BLOC_B_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
06:14:40 BLOC_B_SERIE_DU_JOUR              4m06s      4m03s      -3s  ✅  Romains 3
06:18:43 BLOC_B_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Romains 4
06:22:19 BLOC_B_SERIE_DU_JOUR              3m34s      3m32s      -2s  ✅  Romains 5
06:25:51 BLOC_B_SERIE_DU_JOUR              3m15s      3m13s      -2s  ✅  Romains 6
06:29:04 BLOC_B_SERIE_DU_JOUR              3m46s      3m43s      -3s  ✅  Romains 7
06:32:47 BLOC_B_SERIE_DU_JOUR              5m42s      5m39s      -3s  ✅  Romains 8
06:38:26 BLOC_B_SERIE_DU_JOUR              4m40s      4m38s      -2s  ✅  Romains 9
06:43:04 BLOC_B_SERIE_DU_JOUR              3m06s      3m03s      -3s  ✅  Romains 10
06:46:07 BLOC_B_SERIE_DU_JOUR              5m37s      5m34s      -3s  ✅  Romains 11
06:51:41 BLOC_B_SERIE_DU_JOUR              3m06s      3m04s      -2s  ✅  Romains 12
06:54:45 BLOC_B_SERIE_DU_JOUR              2m36s      2m33s      -3s  ✅  Romains 13
06:57:18 BLOC_B_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Romains 14
07:00:42 BLOC_B_SERIE_DU_JOUR              5m12s      5m09s      -3s  ✅  Romains 15
07:05:51 BLOC_B_SERIE_DU_JOUR              3m44s      3m42s      -2s  ✅  Romains 16
07:09:33 BLOC_B_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Abdias 1
07:12:56 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
07:13:07 BLOC_B_SERIE_DU_JOUR              6m28s      6m25s      -3s  ✅  Le Bien-Etre Universel
07:19:32 BLOC_B_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  God is Building - Will You Be - Ketu HF
07:24:03 BLOC_B_SERIE_DU_JOUR              6m06s      6m06s      +0s  ✅  cantique  ta bonte
07:30:09 BLOC_B_SERIE_DU_JOUR              4m03s      3m58s      -5s  ✅  I Will Not Be Silent - Calabar HF
07:34:07 BLOC_B_SERIE_DU_JOUR              4m14s      4m12s      -2s  ✅  Mon modèle, c est Jésus
07:38:19 BLOC_B_SERIE_DU_JOUR              4m04s      4m01s      -3s  ✅  Ascribe Greatness - PHF
07:42:20 BLOC_B_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  jai donné ma vie à jésus (1)
07:46:28 BLOC_B_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Hymne des vainqueurs
07:52:35 BLOC_B_SERIE_DU_JOUR              3m10s      3m07s      -3s  ✅  la Parole
07:55:42 BLOC_B_SERIE_DU_JOUR              5m15s      5m13s      -2s  ✅  Yahweh Be Praised - Abuja HF
08:00:55 BLOC_B_SERIE_DU_JOUR              5m50s      5m47s      -3s  ✅  Jesus I'm Waiting for You (Mary Umoh)
08:06:42 BLOC_B_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
08:10:21 BLOC_B_SERIE_DU_JOUR              6m59s      6m56s      -3s  ✅  Hosanna - Toronto HF
08:17:17 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
08:17:28 BLOC_B_SERIE_DU_JOUR              2m35s      2m33s      -2s  ✅  Job 12
08:20:01 BLOC_B_SERIE_DU_JOUR              2m37s      2m35s      -2s  ✅  Job 13
08:22:36 BLOC_B_SERIE_DU_JOUR              2m25s      2m22s      -3s  ✅  Job 14
08:24:58 BLOC_B_SERIE_DU_JOUR              3m21s      3m18s      -3s  ✅  Job 15
08:28:16 BLOC_B_SERIE_DU_JOUR              2m15s      2m13s      -2s  ✅  Job 16
08:30:29 BLOC_B_SERIE_DU_JOUR              1m36s      1m33s      -3s  ✅  Job 17
08:32:02 BLOC_B_SERIE_DU_JOUR              2m02s      2m00s      -2s  ✅  Job 18
08:34:02 BLOC_B_SERIE_DU_JOUR              3m05s      3m03s      -2s  ✅  Job 19
08:37:05 BLOC_B_SERIE_DU_JOUR              2m59s      2m56s      -3s  ✅  Job 20
08:40:01 BLOC_B_SERIE_DU_JOUR              3m12s      3m11s      -1s  ✅  Job 21
08:43:12 BLOC_B_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Job 22
08:45:46 BLOC_B_SERIE_DU_JOUR              1m43s      1m40s      -3s  ✅  Job 23
08:47:26 BLOC_B_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
08:47:35 BLOC_B_SERIE_DU_JOUR              8m31s      8m28s      -3s  ✅  Holy Holy - Abuja HF
08:56:03 BLOC_B_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Crown Him Lord of Lords - Nonso Njoku
