====================================================================================================
MONITEUR RADIO — 2026-08-25 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 32 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:21  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:21  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:26  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:10  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:26  🌐 échec réseau AzuraCast/Liquidsoap  (×23)
RESET MINUIT : restart confirmé vers 00:02:03 · 3 contrôle(s) · ⚠️ doublon vu dans la file
GARDE DE FRONTIÈRE : 3 snapshot(s) · ⚠️ doublon(s) vu(s) dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:32  TROU 107s « jingle avant message 01 voici le message du jour »
          ↳ cause probable 00:01:26 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-25 (heures UTC)
262 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
08:48:54 BLOC_B_SERIE_DU_JOUR              2m16s      2m14s      -2s  ✅  cantique  nous sommes le sel de la terre
08:51:08 BLOC_B_SERIE_DU_JOUR              9m23s      9m20s      -3s  ✅  Thou art Worthy Lord - PHF
09:00:28 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
09:00:39 BLOC_B_SERIE_DU_JOUR              3m42s      3m39s      -3s  ✅  2 Pierre 1
09:04:18 BLOC_B_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  2 Pierre 2
09:08:20 BLOC_B_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  2 Pierre 3
09:11:34 BLOC_B_SERIE_DU_JOUR              3m58s      3m55s      -3s  ✅  Ézéchiel 41
09:15:29 BLOC_B_SERIE_DU_JOUR              3m09s      3m07s      -2s  ✅  Ézéchiel 42
09:18:36 BLOC_B_SERIE_DU_JOUR              4m37s      4m45s      +8s  ✅  Ézéchiel 43
09:23:21 BLOC_B_SERIE_DU_JOUR              6m15s      6m12s      -3s  ✅  Oh Lord I Want to Know Your Glory - Port Harcourt HF
09:29:33 BLOC_B_SERIE_DU_JOUR              6m04s      6m02s      -2s  ✅  Sing Unto the Lord a new Song  - Winnipeg Fellowship
09:35:35 BLOC_B_SERIE_DU_JOUR              6m59s      6m57s      -2s  ✅  Hosanna - Toronto HF
09:42:32 BLOC_B_SERIE_DU_JOUR              5m04s      5m01s      -3s  ✅  Guide Me - El ELyon - Abuja HF
09:47:33 BLOC_B_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  cantique  heureux l homme qui ne marche pas selon
09:49:50 BLOC_B_SERIE_DU_JOUR              5m47s      5m45s      -2s  ✅  We Ascribe Greatness - Abuja HF
09:55:35 BLOC_B_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  My God Is Good - Winnipeg Fellowship
10:02:42 BLOC_B_SERIE_DU_JOUR             11m53s     11m50s      -3s  ✅  Hashem - PHF
10:14:32 BLOC_B_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
10:14:39 BLOC_B_SERIE_DU_JOUR              3m59s      3m56s      -3s  ✅  Nombres 8
10:18:35 BLOC_B_SERIE_DU_JOUR              3m39s      3m37s      -2s  ✅  Nombres 9
10:22:12 BLOC_B_SERIE_DU_JOUR              4m51s      4m48s      -3s  ✅  Nombres 10
10:27:00 BLOC_B_SERIE_DU_JOUR              6m10s      6m08s      -2s  ✅  Nombres 11
10:33:08 BLOC_B_SERIE_DU_JOUR              2m32s      2m29s      -3s  ✅  Nombres 12
10:35:37 BLOC_B_SERIE_DU_JOUR              4m23s      4m21s      -2s  ✅  Nombres 13
10:39:58 BLOC_B_SERIE_DU_JOUR              6m43s      6m41s      -2s  ✅  Nombres 14
10:46:39 BLOC_B_SERIE_DU_JOUR              5m47s      5m44s      -3s  ✅  Nombres 15
10:52:23 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
10:52:31 BLOC_B_SERIE_DU_JOUR              7m36s      7m33s      -3s  ✅  There Is No Lie - SWBN TV
11:00:04 BLOC_B_SERIE_DU_JOUR             11m54s     11m52s      -2s  ✅  Great & Marvelluos - Toronto HF
11:11:56 BLOC_B_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Cantique sa miséricorde
11:15:17 BLOC_B_SERIE_DU_JOUR              5m43s      5m41s      -2s  ✅  Cantique l Éternel est mon Berger (1)
11:20:58 BLOC_B_SERIE_DU_JOUR              5m10s      5m07s      -3s  ✅  I Will Call Upon The Lord
11:26:05 BLOC_B_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
11:30:55 BLOC_B_SERIE_DU_JOUR              4m21s      4m19s      -2s  ✅  Sing Hallelujah - Abuja HF
11:35:14 BLOC_B_SERIE_DU_JOUR              7m21s      7m18s      -3s  ✅  For By My God - Toronto & Winnipeg HF
11:42:32 BLOC_B_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  JINGLE
11:42:41 BLOC_B_SERIE_DU_JOUR              3m58s      3m56s      -2s  ✅  Jérémie 8
11:46:37 BLOC_B_SERIE_DU_JOUR              4m37s      4m35s      -2s  ✅  Jérémie 9
11:51:12 BLOC_B_SERIE_DU_JOUR              3m54s      3m51s      -3s  ✅  Jérémie 10
11:55:03 BLOC_B_SERIE_DU_JOUR              4m11s      4m12s      +1s  ✅  Jérémie 11
11:59:15 ?                                 0m50s      0m50s      +0s  ✅  AzuraCast is Live!
12:00:05 BLOC_C_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
12:00:15 BLOC_C_SERIE_DU_JOUR           1h26m45s   1h26m43s      -2s  ✅  aps la moisson 20220226 6
13:26:58 BLOC_C_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
13:27:08 BLOC_C_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
13:27:15 BLOC_C_SERIE_DU_JOUR              1m55s      1m52s      -3s  ✅  Esdras 1
13:29:07 BLOC_C_SERIE_DU_JOUR              6m11s      6m09s      -2s  ✅  Esdras 2
13:35:16 BLOC_C_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Esdras 3
13:38:09 BLOC_C_SERIE_DU_JOUR              4m24s      4m22s      -2s  ✅  Esdras 4
13:42:31 BLOC_C_SERIE_DU_JOUR              3m08s      3m05s      -3s  ✅  Esdras 5
13:45:36 BLOC_C_SERIE_DU_JOUR              4m12s      4m10s      -2s  ✅  Esdras 6
13:49:46 BLOC_C_SERIE_DU_JOUR              4m34s      4m31s      -3s  ✅  Esdras 7
13:54:17 BLOC_C_SERIE_DU_JOUR              5m42s      5m40s      -2s  ✅  Esdras 8
13:59:57 BLOC_C_SERIE_DU_JOUR              3m34s      3m32s      -2s  ✅  Esdras 9
14:03:29 BLOC_C_SERIE_DU_JOUR              6m21s      6m18s      -3s  ✅  Esdras 10
14:09:47 BLOC_C_SERIE_DU_JOUR              5m51s      5m49s      -2s  ✅  Jean 1
14:15:36 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
14:15:44 BLOC_C_SERIE_DU_JOUR              5m15s      5m13s      -2s  ✅  Yahweh Be Praised - Abuja HF
14:20:57 BLOC_C_SERIE_DU_JOUR              7m57s      7m54s      -3s  ✅  Yahweh is Mighty (Imah Adegoke)
14:28:51 BLOC_C_SERIE_DU_JOUR              4m53s      4m51s      -2s  ✅  Cantique Jahweh, Tu es élevé au dessus de tout (1)
14:33:42 BLOC_C_SERIE_DU_JOUR              9m38s      9m35s      -3s  ✅  Holy are You oh Lord (Olaedo Uzoma & Vincent Opara)
14:43:17 BLOC_C_SERIE_DU_JOUR              4m40s      4m37s      -3s  ✅  All in All - CHF
14:47:54 BLOC_C_SERIE_DU_JOUR              6m41s      6m38s      -3s  ✅  6 minutes
14:54:32 BLOC_C_SERIE_DU_JOUR              8m10s      8m07s      -3s  ✅  Great and Marvellous - Ketu HF
15:02:39 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
15:02:47 BLOC_C_SERIE_DU_JOUR              4m02s      3m59s      -3s  ✅  Esther 1
15:06:46 BLOC_C_SERIE_DU_JOUR              4m44s      4m41s      -3s  ✅  Esther 2
15:11:27 BLOC_C_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Esther 3
15:14:41 BLOC_C_SERIE_DU_JOUR              2m55s      2m53s      -2s  ✅  Esther 4
15:17:34 BLOC_C_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Esther 5
15:20:17 BLOC_C_SERIE_DU_JOUR              2m44s      2m41s      -3s  ✅  Esther 6
15:22:58 BLOC_C_SERIE_DU_JOUR              2m17s      2m15s      -2s  ✅  Esther 7
15:25:13 BLOC_C_SERIE_DU_JOUR              3m44s      3m41s      -3s  ✅  Esther 8
15:28:54 BLOC_C_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
15:29:03 BLOC_C_SERIE_DU_JOUR              7m29s      7m26s      -3s  ✅  Hallelujah - PHF
15:36:29 BLOC_C_SERIE_DU_JOUR              7m46s      7m43s      -3s  ✅  Arise Out of Zion  - Winnipeg Fellowship
15:44:12 BLOC_C_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  You're the Lamb (Abasiama Timothy)
15:51:19 BLOC_C_SERIE_DU_JOUR              5m45s      5m43s      -2s  ✅  Ella Samuels - Oh Lord Our Maker
15:57:02 BLOC_C_SERIE_DU_JOUR              3m41s      3m38s      -3s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
16:00:40 BLOC_C_SERIE_DU_JOUR              3m22s      3m20s      -2s  ✅  Ses cheveux étaient blancs..
16:04:00 BLOC_C_SERIE_DU_JOUR              5m13s      5m12s      -1s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
16:09:12 BLOC_C_SERIE_DU_JOUR              8m58s      8m54s      -4s  ✅  El Elyon - Toronto & Winnipeg HF
16:18:06 BLOC_C_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
16:18:16 BLOC_C_SERIE_DU_JOUR              3m11s      3m09s      -2s  ✅  1 Jean 5
16:21:25 BLOC_C_SERIE_DU_JOUR              2m37s      2m35s      -2s  ✅  Michée 1
16:24:00 BLOC_C_SERIE_DU_JOUR              2m20s      2m18s      -2s  ✅  Michée 2
16:26:18 BLOC_C_SERIE_DU_JOUR              2m05s      2m02s      -3s  ✅  Michée 3
16:28:20 BLOC_C_SERIE_DU_JOUR              2m34s      2m31s      -3s  ✅  Michée 4
16:30:51 BLOC_C_SERIE_DU_JOUR              2m20s      2m18s      -2s  ✅  Michée 5
16:33:09 BLOC_C_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Michée 6
16:35:43 BLOC_C_SERIE_DU_JOUR              3m27s      3m24s      -3s  ✅  Michée 7
16:39:07 BLOC_C_SERIE_DU_JOUR              2m47s      2m44s      -3s  ✅  Lévitique 1
16:41:51 BLOC_C_SERIE_DU_JOUR              2m33s      2m30s      -3s  ✅  Lévitique 2
16:44:21 BLOC_C_SERIE_DU_JOUR              2m41s      2m39s      -2s  ✅  Lévitique 3
16:47:00 BLOC_C_SERIE_DU_JOUR              6m13s      6m10s      -3s  ✅  Lévitique 4
16:53:10 BLOC_C_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
