====================================================================================================
MONITEUR RADIO — 2026-09-03 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 65 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:35  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:29  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:53  🌐 échec réseau AzuraCast/Liquidsoap  (×60)
RESET MINUIT : restart confirmé vers 00:02:12 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:00:12  COUPÉ 461s « 10 minutes »
          ↳ cause probable 00:01:35 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   12:25:21  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:01  TROU 61s « Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR - »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-03 (heures UTC)
319 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
04:47:37 BLOC_A_SERIE_DU_JOUR              5m50s      5m47s      -3s  ✅  Jesus I'm Waiting for You (Mary Umoh)
04:53:24 BLOC_A_SERIE_DU_JOUR              3m22s      3m20s      -2s  ✅  Ses cheveux étaient blancs..
04:56:44 BLOC_A_SERIE_DU_JOUR              4m40s      4m37s      -3s  ✅  All in All - CHF
05:01:21 BLOC_A_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Mon modèle, c est Jésus
05:05:32 BLOC_A_SERIE_DU_JOUR              5m15s      5m13s      -2s  ✅  Yahweh Be Praised - Abuja HF
05:10:45 BLOC_A_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  Unto Him - CHF
05:17:02 BLOC_A_SERIE_DU_JOUR              8m12s      8m10s      -2s  ✅  Jesus is Alpha - PHF
05:25:12 BLOC_A_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  He Has Given Me - PHF
05:30:18 BLOC_A_SERIE_DU_JOUR              6m13s      6m10s      -3s  ✅  Immortal God - Elohim Adonai - Abuja HF
05:36:28 BLOC_A_SERIE_DU_JOUR              5m33s      5m30s      -3s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
05:41:58 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 02 radio evangile du royaume
05:42:08 BLOC_A_SERIE_DU_JOUR              4m00s      3m58s      -2s  ✅  Juges 2
05:46:06 BLOC_A_SERIE_DU_JOUR              5m18s      5m16s      -2s  ✅  Juges 3
05:51:22 BLOC_A_SERIE_DU_JOUR              4m32s      4m29s      -3s  ✅  Juges 4
05:55:51 BLOC_A_SERIE_DU_JOUR              5m14s      5m12s      -2s  ✅  Juges 5
06:01:03 BLOC_B_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant message 05 vous etes a lecoute de levangile du royaume
06:01:11 BLOC_B_SERIE_DU_JOUR             25m04s     25m02s      -2s  ✅  pqe j8
06:26:13 BLOC_B_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
06:26:20 BLOC_B_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Éphésiens 1
06:29:44 BLOC_B_SERIE_DU_JOUR              3m16s      3m13s      -3s  ✅  Éphésiens 2
06:32:57 BLOC_B_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Éphésiens 3
06:35:51 BLOC_B_SERIE_DU_JOUR              4m53s      4m50s      -3s  ✅  Éphésiens 4
06:40:41 BLOC_B_SERIE_DU_JOUR              4m12s      4m10s      -2s  ✅  Éphésiens 5
06:44:51 BLOC_B_SERIE_DU_JOUR              3m21s      3m18s      -3s  ✅  Éphésiens 6
06:48:09 BLOC_B_SERIE_DU_JOUR              2m25s      2m23s      -2s  ✅  Cantique des Cantiques 1
06:50:32 BLOC_B_SERIE_DU_JOUR              2m32s      2m29s      -3s  ✅  Cantique des Cantiques 2
06:53:01 BLOC_B_SERIE_DU_JOUR              1m53s      1m52s      -1s  ✅  Cantique des Cantiques 3
06:54:53 BLOC_B_SERIE_DU_JOUR              2m50s      2m46s      -4s  ✅  Cantique des Cantiques 4
06:57:39 BLOC_B_SERIE_DU_JOUR              2m54s      2m52s      -2s  ✅  Cantique des Cantiques 5
07:00:31 BLOC_B_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Cantique des Cantiques 6
07:02:34 BLOC_B_SERIE_DU_JOUR              1m57s      1m54s      -3s  ✅  Cantique des Cantiques 7
07:04:28 BLOC_B_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  Cantique des Cantiques 8
07:06:55 BLOC_B_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  Tite 1
07:09:36 BLOC_B_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  Tite 2
07:11:43 BLOC_B_SERIE_DU_JOUR              2m22s      2m20s      -2s  ✅  Tite 3
07:14:03 BLOC_B_SERIE_DU_JOUR              3m00s      2m57s      -3s  ✅  Jonas 1
07:17:00 BLOC_B_SERIE_DU_JOUR              1m22s      1m19s      -3s  ✅  Jonas 2
07:18:19 BLOC_B_SERIE_DU_JOUR              1m36s      1m34s      -2s  ✅  Jonas 3
07:19:53 BLOC_B_SERIE_DU_JOUR              1m57s      1m55s      -2s  ✅  Jonas 4
07:21:48 BLOC_B_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
07:21:56 BLOC_B_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  cantique  béni soit le dieu d israël
07:28:27 BLOC_B_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  cantique   prends tout le contrôle
07:33:17 BLOC_B_SERIE_DU_JOUR              7m25s      7m23s      -2s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
07:40:40 BLOC_B_SERIE_DU_JOUR              6m12s      6m09s      -3s  ✅  The King is Here (Abasiama Timothy)
07:46:49 BLOC_B_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  cantique  nous sommes le sel de la terre
07:49:02 BLOC_B_SERIE_DU_JOUR              8m58s      8m55s      -3s  ✅  El Elyon - Toronto & Winnipeg HF
07:57:57 BLOC_B_SERIE_DU_JOUR              7m17s      7m16s      -1s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
08:05:13 BLOC_B_SERIE_DU_JOUR              8m10s      8m07s      -3s  ✅  Agunechemba - SWBN TV
08:13:20 BLOC_B_SERIE_DU_JOUR              4m19s      4m16s      -3s  ✅  I Know The Blood - PHF
