Rapport de diffusion — 2026-06-28 (heures UTC)
268 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:29 BLOC_A_SERIE_DU_JOUR              0m10s      1m49s     +99s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
07:17:55 BLOC_B_SERIE_DU_JOUR              2m33s      2m31s      -2s  ✅  1 Chroniques 18
07:20:26 BLOC_B_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  1 Chroniques 19
07:23:59 BLOC_B_SERIE_DU_JOUR              1m41s      1m38s      -3s  ✅  1 Chroniques 20
07:25:37 BLOC_B_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  1 Chroniques 21
07:30:56 BLOC_B_SERIE_DU_JOUR              3m25s      3m22s      -3s  ✅  1 Chroniques 22
07:34:18 BLOC_B_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  By the word of the lord - Ketu HF
07:39:37 BLOC_B_SERIE_DU_JOUR              6m56s      6m54s      -2s  ✅  As We Worship In Ypur Presence
07:46:31 BLOC_B_SERIE_DU_JOUR              5m22s      5m19s      -3s  ✅  God's Got An Army - PHF
07:51:50 BLOC_B_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  jai donné ma vie à jésus (1)
07:55:58 BLOC_B_SERIE_DU_JOUR              4m18s      4m17s      -1s  ✅  You Are Worthy - Ketu HF
08:00:15 BLOC_B_SERIE_DU_JOUR              7m25s      7m21s      -4s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
08:07:36 BLOC_B_SERIE_DU_JOUR              4m05s      4m03s      -2s  ✅  Song Of Victory - Emmanuel Igunbor
08:11:39 BLOC_B_SERIE_DU_JOUR             10m38s     10m36s      -2s  ✅  Be Exalted - PHF
08:22:15 BLOC_B_SERIE_DU_JOUR              1m00s      0m58s      -2s  ✅  Psaumes 75
08:23:13 BLOC_B_SERIE_DU_JOUR              1m10s      1m08s      -2s  ✅  Psaumes 76
08:24:21 BLOC_B_SERIE_DU_JOUR              1m58s      1m55s      -3s  ✅  Psaumes 77
08:26:16 BLOC_B_SERIE_DU_JOUR              6m45s      6m43s      -2s  ✅  Psaumes 78
08:32:59 BLOC_B_SERIE_DU_JOUR              1m38s      1m35s      -3s  ✅  Psaumes 79
08:34:34 BLOC_B_SERIE_DU_JOUR              1m45s      1m43s      -2s  ✅  Psaumes 80
08:36:17 BLOC_B_SERIE_DU_JOUR              1m41s      1m39s      -2s  ✅  Psaumes 81
08:37:56 BLOC_B_SERIE_DU_JOUR              0m44s      0m41s      -3s  ✅  Psaumes 82
08:38:37 BLOC_B_SERIE_DU_JOUR              1m36s      1m35s      -1s  ✅  Psaumes 83
