====================================================================================================
MONITEUR RADIO — 2026-08-19 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 252 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:15  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:20  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:23  🌐 échec réseau AzuraCast/Liquidsoap  (×247)
RESET MINUIT : restart confirmé vers 00:01:57 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:26  TROU 93s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:20 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:59:04  COUPÉ 46s « la Parole »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-19 (heures UTC)
255 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
08:09:58 BLOC_B_SERIE_DU_JOUR              8m18s      8m16s      -2s  ✅  Yahweh Is Mighty - SWBN TV
08:18:14 BLOC_B_SERIE_DU_JOUR              8m10s      8m07s      -3s  ✅  Agunechemba - SWBN TV
08:26:21 BLOC_B_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  jai donné ma vie à jésus (1)
08:30:30 BLOC_B_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Rejoice - PHF
08:36:29 BLOC_B_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
08:42:36 BLOC_B_SERIE_DU_JOUR              6m28s      6m26s      -2s  ✅  Le Bien-Etre Universel
08:49:02 BLOC_B_SERIE_DU_JOUR              7m09s      7m13s      +4s  ✅  You're the Lamb (Abasiama Timothy)
08:56:15 BLOC_B_SERIE_DU_JOUR              4m37s      4m34s      -3s  ✅  1 Corinthiens 1
09:00:49 BLOC_B_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  1 Corinthiens 2
09:03:30 BLOC_B_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  1 Corinthiens 3
09:06:53 BLOC_B_SERIE_DU_JOUR              3m40s      3m38s      -2s  ✅  1 Corinthiens 4
09:10:31 BLOC_B_SERIE_DU_JOUR              2m17s      2m15s      -2s  ✅  1 Corinthiens 5
09:12:46 BLOC_B_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  1 Corinthiens 6
09:16:02 BLOC_B_SERIE_DU_JOUR              6m29s      6m26s      -3s  ✅  1 Corinthiens 7
09:22:28 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
09:22:36 BLOC_B_SERIE_DU_JOUR              4m18s      4m16s      -2s  ✅  You Are Worthy - Ketu HF
09:26:52 BLOC_B_SERIE_DU_JOUR              6m54s      6m51s      -3s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
09:33:43 BLOC_B_SERIE_DU_JOUR              3m22s      3m20s      -2s  ✅  Ses cheveux étaient blancs..
09:37:03 BLOC_B_SERIE_DU_JOUR              2m57s      2m55s      -2s  ✅  You Are the Captain of the Host - Toronto HF
