====================================================================================================
MONITEUR RADIO — 2026-09-07 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 5 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:21  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:28  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
RESET MINUIT : restart confirmé vers 00:02:03 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:33  TROU 101s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:28 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:56:59  COUPÉ 141s « qui est digne d ouvrir le livre »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-07 (heures UTC)
320 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
08:41:48 BLOC_B_SERIE_DU_JOUR              3m12s      3m09s      -3s  ✅  Zacharie 9
08:44:57 BLOC_B_SERIE_DU_JOUR              2m13s      2m11s      -2s  ✅  Zacharie 10
08:47:08 BLOC_B_SERIE_DU_JOUR              2m53s      2m51s      -2s  ✅  Zacharie 11
08:49:59 BLOC_B_SERIE_DU_JOUR              2m38s      2m35s      -3s  ✅  Zacharie 12
08:52:34 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
08:52:42 BLOC_B_SERIE_DU_JOUR              9m31s      9m28s      -3s  ✅  15 at 01.33.50 (1)(1)
09:02:10 BLOC_B_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  Awaken My Heart
09:05:26 BLOC_B_SERIE_DU_JOUR              4m14s      4m12s      -2s  ✅  Mon modèle, c est Jésus
09:09:38 BLOC_B_SERIE_DU_JOUR             11m01s     10m58s      -3s  ✅  Great is, Ascribe - Ketu HF
09:20:36 BLOC_B_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
09:24:54 BLOC_B_SERIE_DU_JOUR              8m10s      8m08s      -2s  ✅  Agunechemba - SWBN TV
09:33:02 BLOC_B_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  How Precious Oh Lord
09:38:44 BLOC_B_SERIE_DU_JOUR              8m12s      8m10s      -2s  ✅  Jesus is Alpha - PHF
09:46:54 BLOC_B_SERIE_DU_JOUR              7m21s      7m18s      -3s  ✅  For By My God - Toronto & Winnipeg HF
09:54:12 BLOC_B_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
09:54:19 BLOC_B_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Michée 1
09:56:53 BLOC_B_SERIE_DU_JOUR              2m20s      2m18s      -2s  ✅  Michée 2
09:59:11 BLOC_B_SERIE_DU_JOUR              2m05s      2m02s      -3s  ✅  Michée 3
10:01:13 BLOC_B_SERIE_DU_JOUR              2m34s      2m32s      -2s  ✅  Michée 4
10:03:45 BLOC_B_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  Michée 5
10:06:02 BLOC_B_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Michée 6
10:08:36 BLOC_B_SERIE_DU_JOUR              3m27s      3m24s      -3s  ✅  Michée 7
10:12:00 BLOC_B_SERIE_DU_JOUR              4m38s      4m36s      -2s  ✅  1 Samuel 1
10:16:36 BLOC_B_SERIE_DU_JOUR              6m23s      6m21s      -2s  ✅  1 Samuel 2
10:22:57 BLOC_B_SERIE_DU_JOUR              3m29s      3m26s      -3s  ✅  1 Samuel 3
10:26:23 BLOC_B_SERIE_DU_JOUR              4m01s      3m59s      -2s  ✅  1 Samuel 4
10:30:22 BLOC_B_SERIE_DU_JOUR              2m25s      2m22s      -3s  ✅  1 Samuel 5
10:32:44 BLOC_B_SERIE_DU_JOUR              4m09s      4m07s      -2s  ✅  1 Samuel 6
10:36:51 BLOC_B_SERIE_DU_JOUR              2m51s      2m48s      -3s  ✅  1 Samuel 7
10:39:39 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
10:39:49 BLOC_B_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  God is Building - Will You Be - Ketu HF
10:44:20 BLOC_B_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  We Shall Come - Asaba Fellowship
10:49:24 BLOC_B_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
10:52:34 BLOC_B_SERIE_DU_JOUR              7m19s      7m16s      -3s  ✅  You Have sworn By Your Holiness - Chidera Bisong
10:59:50 BLOC_B_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  In the Day of Your Power  - Winnipeg Fellowship
11:08:09 BLOC_B_SERIE_DU_JOUR              5m43s      5m40s      -3s  ✅  Cantique l Éternel est mon Berger (1)
11:13:49 BLOC_B_SERIE_DU_JOUR              5m13s      5m11s      -2s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
11:19:00 BLOC_B_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Je veux vivre ton royaume
11:23:42 BLOC_B_SERIE_DU_JOUR              9m39s      9m37s      -2s  ✅  Psalm 93 - Port Harcourt HF
11:33:19 BLOC_B_SERIE_DU_JOUR              6m59s      7m06s      +7s  ✅  Hosanna - Toronto HF
11:40:25 BLOC_B_SERIE_DU_JOUR              2m26s      2m23s      -3s  ✅  Daniel 12
11:42:48 BLOC_B_SERIE_DU_JOUR              1m49s      1m47s      -2s  ✅  1 Thessaloniciens 1
11:44:35 BLOC_B_SERIE_DU_JOUR              3m29s      3m26s      -3s  ✅  1 Thessaloniciens 2
11:48:01 BLOC_B_SERIE_DU_JOUR              2m13s      2m11s      -2s  ✅  1 Thessaloniciens 3
11:50:12 BLOC_B_SERIE_DU_JOUR              3m03s      3m00s      -3s  ✅  1 Thessaloniciens 4
11:53:12 BLOC_B_SERIE_DU_JOUR              3m04s      3m01s      -3s  ✅  1 Thessaloniciens 5
11:56:13 BLOC_B_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Habacuc 1
11:58:50 BLOC_B_SERIE_DU_JOUR              3m24s      3m22s      -2s  ✅  Habacuc 2
12:02:12 BLOC_C_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
12:02:22 BLOC_C_SERIE_DU_JOUR             10m07s     10m05s      -2s  ✅  2020 tian le pardon 2
12:12:27 BLOC_C_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
12:12:34 BLOC_C_SERIE_DU_JOUR              4m15s      4m12s      -3s  ✅  Philippiens 1
12:16:46 BLOC_C_SERIE_DU_JOUR              4m28s      4m26s      -2s  ✅  Philippiens 2
12:21:12 BLOC_C_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Philippiens 3
12:24:35 BLOC_C_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Philippiens 4
12:28:11 BLOC_C_SERIE_DU_JOUR              5m35s      5m33s      -2s  ✅  Ézéchiel 21
12:33:44 BLOC_C_SERIE_DU_JOUR              4m42s      4m39s      -3s  ✅  Ézéchiel 22
12:38:23 BLOC_C_SERIE_DU_JOUR              7m24s      7m21s      -3s  ✅  Ézéchiel 23
12:45:44 BLOC_C_SERIE_DU_JOUR              4m09s      4m06s      -3s  ✅  Ézéchiel 24
12:49:50 BLOC_C_SERIE_DU_JOUR              3m00s      2m57s      -3s  ✅  Ézéchiel 25
12:52:47 BLOC_C_SERIE_DU_JOUR              3m45s      3m43s      -2s  ✅  Ézéchiel 26
12:56:30 BLOC_C_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  Ézéchiel 27
13:01:38 BLOC_C_SERIE_DU_JOUR              4m23s      4m21s      -2s  ✅  Ézéchiel 28
13:05:59 BLOC_C_SERIE_DU_JOUR              3m47s      3m44s      -3s  ✅  Ézéchiel 29
13:09:43 BLOC_C_SERIE_DU_JOUR              3m58s      3m55s      -3s  ✅  Ézéchiel 30
13:13:38 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
13:13:46 BLOC_C_SERIE_DU_JOUR              6m28s      6m26s      -2s  ✅  Le Bien-Etre Universel
13:20:12 BLOC_C_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Where Two or Three are Gathered - Calabar HF
13:26:01 BLOC_C_SERIE_DU_JOUR              7m18s      7m15s      -3s  ✅  Holy is the Lord (Emmanuel Umoh)
13:33:16 BLOC_C_SERIE_DU_JOUR             10m35s     10m32s      -3s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
13:43:48 BLOC_C_SERIE_DU_JOUR              4m05s      4m03s      -2s  ✅  Song Of Victory - Emmanuel Igunbor
13:47:51 BLOC_C_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
13:53:58 BLOC_C_SERIE_DU_JOUR              3m22s      3m20s      -2s  ✅  Ses cheveux étaient blancs..
13:57:18 BLOC_C_SERIE_DU_JOUR              8m22s      8m19s      -3s  ✅  Yeshua Hamashiach - Calabar HF
14:05:37 BLOC_C_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  Good God - Asaba Fellowship
14:11:41 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
14:11:49 BLOC_C_SERIE_DU_JOUR              3m07s      3m04s      -3s  ✅  Joël 1
14:14:53 BLOC_C_SERIE_DU_JOUR              5m41s      5m39s      -2s  ✅  Joël 2
14:20:32 BLOC_C_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Joël 3
14:24:05 BLOC_C_SERIE_DU_JOUR              3m00s      2m58s      -2s  ✅  Jonas 1
14:27:03 BLOC_C_SERIE_DU_JOUR              1m22s      1m19s      -3s  ✅  Jonas 2
14:28:22 BLOC_C_SERIE_DU_JOUR              1m36s      1m34s      -2s  ✅  Jonas 3
14:29:56 BLOC_C_SERIE_DU_JOUR              1m57s      1m55s      -2s  ✅  Jonas 4
14:31:51 BLOC_C_SERIE_DU_JOUR              2m32s      2m29s      -3s  ✅  Nombres 12
14:34:20 BLOC_C_SERIE_DU_JOUR              4m23s      4m21s      -2s  ✅  Nombres 13
14:38:41 BLOC_C_SERIE_DU_JOUR              6m43s      6m41s      -2s  ✅  Nombres 14
14:45:22 BLOC_C_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
14:45:30 BLOC_C_SERIE_DU_JOUR              5m19s      5m17s      -2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
14:50:47 BLOC_C_SERIE_DU_JOUR              5m50s      5m47s      -3s  ✅  Jesus I'm Waiting for You (Mary Umoh)
14:56:34 BLOC_C_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
15:01:24 BLOC_C_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  My God Is Good - Winnipeg Fellowship
15:08:31 BLOC_C_SERIE_DU_JOUR              5m08s      5m05s      -3s  ✅  He Has Given Me - PHF
15:13:36 BLOC_C_SERIE_DU_JOUR              4m53s      4m51s      -2s  ✅  Cantique Jahweh, Tu es élevé au dessus de tout (1)
15:18:27 BLOC_C_SERIE_DU_JOUR              7m29s      7m26s      -3s  ✅  Hallelujah - PHF
15:25:53 BLOC_C_SERIE_DU_JOUR              6m12s      6m09s      -3s  ✅  The King is Here (Abasiama Timothy)
15:32:02 BLOC_C_SERIE_DU_JOUR             10m25s     10m23s      -2s  ✅  Holy Are You - PHF
