====================================================================================================
MONITEUR RADIO — 2026-08-02 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 75 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:27  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   05:59:59  🔇 bascule sur jingle d'erreur (silence potentiel)
   23:32:37  🌐 échec réseau AzuraCast/Liquidsoap  (×71)
RESET MINUIT : restart confirmé vers 00:02:04 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:33  TROU 93s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:27 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:54:44  COUPÉ 20s « For By My God - Toronto & Winnipeg HF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-02 (heures UTC)
252 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
05:52:31 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 01 la bonne nouvelle partout
05:52:41 BLOC_A_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Galates 1
05:55:56 BLOC_A_SERIE_DU_JOUR              4m08s      4m09s      +1s  ✅  Galates 2
06:00:05 BLOC_B_SERIE_DU_JOUR              0m10s      0m15s      +5s  ✅  jingle avant message 04 bienvenue sur parole prophetique fm
06:00:20 BLOC_B_SERIE_DU_JOUR           1h19m00s   1h18m57s      -3s  ✅  part2
07:19:17 BLOC_B_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
07:19:23 BLOC_B_SERIE_DU_JOUR              4m06s      4m04s      -2s  ✅  2 Samuel 1
07:23:27 BLOC_B_SERIE_DU_JOUR              5m12s      5m09s      -3s  ✅  2 Samuel 2
07:28:36 BLOC_B_SERIE_DU_JOUR              6m36s      6m34s      -2s  ✅  2 Samuel 3
07:35:10 BLOC_B_SERIE_DU_JOUR              2m27s      2m25s      -2s  ✅  2 Samuel 4
07:37:35 BLOC_B_SERIE_DU_JOUR              3m45s      3m43s      -2s  ✅  2 Samuel 5
07:41:18 BLOC_B_SERIE_DU_JOUR              3m55s      3m52s      -3s  ✅  2 Samuel 6
07:45:10 BLOC_B_SERIE_DU_JOUR              4m44s      4m41s      -3s  ✅  2 Samuel 7
07:49:51 BLOC_B_SERIE_DU_JOUR              2m52s      2m50s      -2s  ✅  2 Samuel 8
07:52:41 BLOC_B_SERIE_DU_JOUR              2m23s      2m20s      -3s  ✅  2 Samuel 9
07:55:01 BLOC_B_SERIE_DU_JOUR              3m20s      3m18s      -2s  ✅  2 Samuel 10
07:58:19 BLOC_B_SERIE_DU_JOUR              4m43s      4m40s      -3s  ✅  2 Samuel 11
08:02:59 BLOC_B_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  2 Samuel 12
08:08:41 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
08:08:51 BLOC_B_SERIE_DU_JOUR              7m51s      7m49s      -2s  ✅  There is no name  - Winnipeg Fellowship
08:16:40 BLOC_B_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  My Heart Rejoices - Toronto HF
08:24:58 BLOC_B_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  cantique  nous sommes le sel de la terre
08:27:11 BLOC_B_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  jai donné ma vie à jésus (1)
08:31:19 BLOC_B_SERIE_DU_JOUR              6m07s      6m05s      -2s  ✅  There Is Forgiveness In Thee - SWBN TV
08:37:24 BLOC_B_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  He Has Given Me - PHF
08:42:30 BLOC_B_SERIE_DU_JOUR              5m13s      5m10s      -3s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
08:47:40 BLOC_B_SERIE_DU_JOUR              8m18s      8m16s      -2s  ✅  Yahweh Is Mighty - SWBN TV
08:55:56 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
08:56:04 BLOC_B_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Malachie 1
08:58:55 BLOC_B_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Malachie 2
09:02:09 BLOC_B_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Malachie 3
09:05:28 BLOC_B_SERIE_DU_JOUR              1m05s      1m02s      -3s  ✅  Malachie 4
09:06:30 BLOC_B_SERIE_DU_JOUR              2m28s      2m26s      -2s  ✅  Ézéchiel 9
09:08:56 BLOC_B_SERIE_DU_JOUR              3m35s      3m33s      -2s  ✅  Ézéchiel 10
