Rapport de diffusion — 2026-06-29 (heures UTC)
173 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
16:30:18 BLOC_C_SERIE_DU_JOUR              6m13s      6m09s      -4s  ✅  Lévitique 4
16:36:27 BLOC_C_SERIE_DU_JOUR              3m52s      3m50s      -2s  ✅  Lévitique 5
16:40:17 BLOC_C_SERIE_DU_JOUR              4m38s      4m36s      -2s  ✅  Lévitique 6
16:44:53 BLOC_C_SERIE_DU_JOUR              5m30s      5m27s      -3s  ✅  Lévitique 7
16:50:20 BLOC_C_SERIE_DU_JOUR              5m25s      5m22s      -3s  ✅  Lévitique 8
16:55:42 BLOC_C_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Lévitique 9
16:59:15 BLOC_C_SERIE_DU_JOUR              5m19s      5m17s      -2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
17:04:32 BLOC_C_SERIE_DU_JOUR             11m53s     11m50s      -3s  ✅  Hashem - PHF
17:16:22 BLOC_C_SERIE_DU_JOUR              7m18s      7m15s      -3s  ✅  Holy is the Lord (Emmanuel Umoh)
17:23:37 BLOC_C_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
17:29:44 BLOC_C_SERIE_DU_JOUR              7m21s      7m18s      -3s  ✅  For By My God - Toronto & Winnipeg HF
17:37:02 BLOC_C_SERIE_DU_JOUR              3m36s      3m34s      -2s  ✅  Daniel 1
17:40:36 BLOC_C_SERIE_DU_JOUR              9m09s      9m06s      -3s  ✅  Daniel 2
17:49:42 BLOC_C_SERIE_DU_JOUR              6m24s      6m21s      -3s  ✅  Daniel 3
17:56:03 BLOC_C_SERIE_DU_JOUR              6m02s      6m08s      +6s  ✅  Rejoice - PHF
18:02:11 BLOC_D_SERIE_DU_JOUR           1h26m45s   1h26m43s      -2s  ✅  aps la moisson 20220226 6
19:28:54 BLOC_D_SERIE_DU_JOUR              0m01s      0m02s      +1s  ✅  jingle avant bible 04 restons a lecoute des ecritures
19:28:56 BLOC_C_SERIE_DU_JOUR           1h26m45s   1h26m42s      -3s  ✅  aps la moisson 20220226 6
20:55:38 BLOC_D_SERIE_DU_JOUR              2m54s      2m52s      -2s  ✅  Cantique des Cantiques 5
20:58:30 BLOC_D_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Cantique des Cantiques 6
21:00:33 BLOC_D_SERIE_DU_JOUR              1m57s      1m54s      -3s  ✅  Cantique des Cantiques 7
21:02:27 BLOC_D_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  Cantique des Cantiques 8
21:04:54 BLOC_D_SERIE_DU_JOUR              2m33s      2m30s      -3s  ✅  1 Samuel 21
21:07:24 BLOC_D_SERIE_DU_JOUR              4m12s      4m10s      -2s  ✅  1 Samuel 22
21:11:34 BLOC_D_SERIE_DU_JOUR              4m39s      4m37s      -2s  ✅  1 Samuel 23
21:16:11 BLOC_D_SERIE_DU_JOUR              3m34s      3m31s      -3s  ✅  1 Samuel 24
21:19:42 BLOC_D_SERIE_DU_JOUR              7m22s      7m20s      -2s  ✅  1 Samuel 25
21:27:02 BLOC_D_SERIE_DU_JOUR              4m35s      4m33s      -2s  ✅  1 Samuel 26
21:31:35 BLOC_D_SERIE_DU_JOUR              2m05s      2m02s      -3s  ✅  1 Samuel 27
21:33:37 BLOC_D_SERIE_DU_JOUR              4m23s      4m20s      -3s  ✅  1 Samuel 28
21:37:57 BLOC_D_SERIE_DU_JOUR              2m02s      1m59s      -3s  ✅  1 Samuel 29
21:39:56 BLOC_D_SERIE_DU_JOUR              4m57s      4m54s      -3s  ✅  1 Samuel 30
21:44:50 BLOC_D_SERIE_DU_JOUR              0m05s      0m06s      +1s  ✅  jingle avant louange 04 suite de la selection musicale
21:44:56 BLOC_D_SERIE_DU_JOUR              6m13s      6m11s      -2s  ✅  Immortal God - Elohim Adonai - Abuja HF
21:51:07 BLOC_D_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  In the Day of Your Power  - Winnipeg Fellowship
21:59:25 BLOC_D_SERIE_DU_JOUR              6m59s      6m57s      -2s  ✅  Hosanna - Toronto HF
22:06:22 BLOC_D_SERIE_DU_JOUR             11m54s     11m51s      -3s  ✅  Great & Marvelluos - Toronto HF
22:18:13 BLOC_D_SERIE_DU_JOUR              7m29s      7m26s      -3s  ✅  Hallelujah - PHF
22:25:39 BLOC_D_SERIE_DU_JOUR             10m38s     10m36s      -2s  ✅  Be Exalted - PHF
22:36:15 BLOC_D_SERIE_DU_JOUR              0m05s      0m05s      +0s  ✅  jingle avant bible 05 poursuivons notre lecture
22:36:20 BLOC_D_SERIE_DU_JOUR             10m10s     10m08s      -2s  ✅  Matthieu 26
22:46:28 BLOC_D_SERIE_DU_JOUR              8m43s      8m41s      -2s  ✅  Matthieu 27
22:55:09 BLOC_D_SERIE_DU_JOUR              2m44s      2m40s      -4s  ✅  Matthieu 28
22:57:49 BLOC_D_SERIE_DU_JOUR              3m38s      3m36s      -2s  ✅  Juges 15
23:01:25 BLOC_D_SERIE_DU_JOUR              0m04s      0m04s      +0s  ✅  jingle avant louange 03 continuons dans la louange
23:01:29 BLOC_D_SERIE_DU_JOUR              6m35s      6m33s      -2s  ✅  cantique   ta lumière
23:08:02 BLOC_D_SERIE_DU_JOUR              6m41s      6m38s      -3s  ✅  6 minutes
23:14:40 BLOC_D_SERIE_DU_JOUR              8m10s      8m07s      -3s  ✅  Great and Marvellous - Ketu HF
23:22:47 BLOC_D_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
23:25:57 BLOC_D_SERIE_DU_JOUR              9m38s      9m36s      -2s  ✅  Holy are You oh Lord (Olaedo Uzoma & Vincent Opara)
23:35:33 BLOC_D_SERIE_DU_JOUR              9m31s      9m28s      -3s  ✅  15 at 01.33.50 (1)(1)
23:45:01 BLOC_D_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  There's A Mighty River Flowing - SWBN TV
23:49:19 BLOC_D_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
23:49:29 BLOC_D_SERIE_DU_JOUR           1h48m10s          ?           ⏳ dernier titre (durée réelle inconnue)  7-aps la moisson 20220226 7
----------------------------------------------------------------------------------------------------
Bilan : 173 titres, 1 anomalie(s) (titre coupé de plus de 10s ou trou d'antenne).

====================================================================================================
RÉEL vs PRÉVU — ce qui a joué vs ce que le plan prévoyait
====================================================================================================
----------------------------------------------------------------------------------------------------
BLOC_A  (00:00-06:00)  prévus  68 · joués  44 · conformité  57% · sautés 29 · en trop  5
   ⏭️  PRÉVU NON JOUÉ : jingle avant message 02 enseignement parole de dieu · APS La moisson 6 · jingle avant bible 04 restons a lecoute des ecritures · jingle avant louange 01 place a la louange et adoration · El Elyon - Toronto & Winnipeg HF · Jesus I'm Waiting for You (Mary Umoh)  …(+23)
   ➕  JOUÉ NON PRÉVU : aps la moisson 20220226 6 · Cantique l Éternel est mon Berger (1) · jai donné ma vie à jésus (1) · By the word of the lord - Ketu HF · Ascribe Greatness - PHF
----------------------------------------------------------------------------------------------------
BLOC_B  (06:00-12:00)  prévus  70 · joués  45 · conformité  59% · sautés 29 · en trop  4
   ⏭️  PRÉVU NON JOUÉ : jingle avant message 02 enseignement parole de dieu · APS La moisson 6 · jingle avant bible 04 restons a lecoute des ecritures · jingle avant louange 03 continuons dans la louange · Where Two or Three are Gathered - Calabar HF · In Jesus - PHF  …(+23)
   ➕  JOUÉ NON PRÉVU : aps la moisson 20220226 6 · Igwe · cantique  ta bonte · aps la moisson 20220226 6
----------------------------------------------------------------------------------------------------
BLOC_C  (12:00-18:00)  prévus  58 · joués  45 · conformité  72% · sautés 16 · en trop  3
   ⏭️  PRÉVU NON JOUÉ : APS La moisson 6 · jingle avant bible 04 restons a lecoute des ecritures · jingle avant louange 04 suite de la selection musicale · Not Naked (Abasiama Timothy) · jingle avant bible 02 voici la lecture de la bible · jingle avant louange 03 continuons dans la louange  …(+10)
   ➕  JOUÉ NON PRÉVU : Yahweh Is Mighty - SWBN TV · aps la moisson 20220226 6 · jingle avant bible 04 restons a lecoute des ecritures
----------------------------------------------------------------------------------------------------
BLOC_D  (18:00-24:00)  prévus  65 · joués  39 · conformité  54% · sautés 30 · en trop  4
   ⏭️  PRÉVU NON JOUÉ : jingle avant message 02 enseignement parole de dieu · APS La moisson 6 · jingle avant bible 01 la foi vient de ce quon entend · 2 Rois 19 · 2 Rois 20 · 2 Rois 21  …(+24)
   ➕  JOUÉ NON PRÉVU : aps la moisson 20220226 6 · aps la moisson 20220226 6 · jingle avant message 01 voici le message du jour · 7-aps la moisson 20220226 7
----------------------------------------------------------------------------------------------------
CONFORMITÉ GLOBALE : 157/261 titres prévus joués dans l'ordre = 60%  (16 titre(s) hors plan)
