====================================================================================================
MONITEUR RADIO — 2026-08-18 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 262 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:18  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:31:59  🌐 échec réseau AzuraCast/Liquidsoap  (×257)
RESET MINUIT : restart confirmé vers 00:02:00 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:29  TROU 92s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:23 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:21  COUPÉ 54s « Hosanna - Toronto HF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-18 (heures UTC)
264 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
11:35:09 BLOC_B_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable
11:39:17 BLOC_B_SERIE_DU_JOUR              7m36s      7m33s      -3s  ✅  There Is No Lie - SWBN TV
11:46:50 BLOC_B_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  JINGLE
11:46:59 BLOC_B_SERIE_DU_JOUR              2m59s      2m57s      -2s  ✅  Philémon 1
11:49:56 BLOC_B_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Abdias 1
11:53:19 BLOC_B_SERIE_DU_JOUR              5m46s      5m44s      -2s  ✅  Juges 1
11:59:03 BLOC_B_SERIE_DU_JOUR              4m00s      3m57s      -3s  ✅  Juges 2
12:03:00 BLOC_C_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant message 05 vous etes a lecoute de levangile du royaume
12:03:09 BLOC_C_SERIE_DU_JOUR           1h13m29s   1h13m26s      -3s  ✅  nous faire part 4
13:16:35 BLOC_C_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
13:16:46 BLOC_C_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Habacuc 1
13:19:23 BLOC_C_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Habacuc 2
13:22:44 BLOC_C_SERIE_DU_JOUR              3m11s      3m09s      -2s  ✅  Habacuc 3
13:25:53 BLOC_C_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Éphésiens 1
13:29:17 BLOC_C_SERIE_DU_JOUR              3m16s      3m13s      -3s  ✅  Éphésiens 2
13:32:30 BLOC_C_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Éphésiens 3
13:35:24 BLOC_C_SERIE_DU_JOUR              4m53s      4m51s      -2s  ✅  Éphésiens 4
13:40:15 BLOC_C_SERIE_DU_JOUR              4m12s      4m09s      -3s  ✅  Éphésiens 5
13:44:24 BLOC_C_SERIE_DU_JOUR              3m21s      3m18s      -3s  ✅  Éphésiens 6
13:47:42 BLOC_C_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  Nombres 24
13:51:51 BLOC_C_SERIE_DU_JOUR              2m41s      2m39s      -2s  ✅  Nombres 25
13:54:30 BLOC_C_SERIE_DU_JOUR              9m41s      9m39s      -2s  ✅  Nombres 26
14:04:09 BLOC_C_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
14:04:19 BLOC_C_SERIE_DU_JOUR              5m02s      5m00s      -2s  ✅  A Song Of Love
14:09:19 BLOC_C_SERIE_DU_JOUR              6m12s      6m09s      -3s  ✅  Praise the Lord All Ye Nations - Toronto HF
14:15:28 BLOC_C_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  Good God - Asaba Fellowship
14:21:32 BLOC_C_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  My Heart Rejoices - Toronto HF
14:29:50 BLOC_C_SERIE_DU_JOUR              5m52s      5m50s      -2s  ✅  Not Naked (Abasiama Timothy)
14:35:40 BLOC_C_SERIE_DU_JOUR              9m04s      9m01s      -3s  ✅  You're the Lamb - Calabar HF
14:44:41 BLOC_C_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  I Will Call Upon The Lord
14:49:49 BLOC_C_SERIE_DU_JOUR              5m33s      5m30s      -3s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
