====================================================================================================
MONITEUR RADIO — 2026-07-27 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 108 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:18  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:18  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:22  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:28  🌐 échec réseau AzuraCast/Liquidsoap  (×101)
RESET MINUIT : restart confirmé vers 00:02:00 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:28  TROU 99s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:22 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:56:48  COUPÉ 131s « There is no Lie (Imah Adegoke & Mary Umoh) »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-07-27 (heures UTC)
314 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
04:28:21 BLOC_A_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Marc 2
04:32:39 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
04:32:47 BLOC_A_SERIE_DU_JOUR             11m53s     11m50s      -3s  ✅  Hashem - PHF
04:44:37 BLOC_A_SERIE_DU_JOUR              7m17s      7m15s      -2s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
04:51:52 BLOC_A_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  cantique   prends tout le contrôle
04:56:42 BLOC_A_SERIE_DU_JOUR              8m25s      8m23s      -2s  ✅  The Mountains, Come and, Oh City - Ketu HF
05:05:05 BLOC_A_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  I Will Call Upon The Lord
05:10:13 BLOC_A_SERIE_DU_JOUR              8m18s      8m15s      -3s  ✅  Yahweh Is Mighty - SWBN TV
05:18:28 BLOC_A_SERIE_DU_JOUR              4m53s      4m50s      -3s  ✅  Cantique Jahweh, Tu es élevé au dessus de tout (1)
05:23:18 BLOC_A_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Satisfy My Soul - Calabar HF
05:29:18 BLOC_A_SERIE_DU_JOUR             10m35s     10m32s      -3s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
05:39:50 BLOC_A_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
05:39:59 BLOC_A_SERIE_DU_JOUR              5m03s      5m01s      -2s  ✅  Ézéchiel 37
05:45:00 BLOC_A_SERIE_DU_JOUR              4m13s      4m11s      -2s  ✅  Ézéchiel 38
05:49:11 BLOC_A_SERIE_DU_JOUR              4m57s      4m54s      -3s  ✅  Ézéchiel 39
05:54:05 BLOC_A_SERIE_DU_JOUR              7m58s      7m55s      -3s  ✅  Ézéchiel 40
06:02:00 BLOC_B_SERIE_DU_JOUR              0m10s      0m11s      +1s  ✅  jingle avant message 01 voici le message du jour
06:02:11 BLOC_B_SERIE_DU_JOUR              9m37s      9m35s      -2s  ✅  amc tian combat spirituel 4
06:11:46 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
06:11:56 BLOC_B_SERIE_DU_JOUR              4m03s      4m00s      -3s  ✅  Apocalypse 19
06:15:56 BLOC_B_SERIE_DU_JOUR              3m06s      3m04s      -2s  ✅  Apocalypse 20
06:19:00 BLOC_B_SERIE_DU_JOUR              4m56s      4m54s      -2s  ✅  Apocalypse 21
06:23:54 BLOC_B_SERIE_DU_JOUR              3m34s      3m31s      -3s  ✅  Apocalypse 22
06:27:25 BLOC_B_SERIE_DU_JOUR              0m33s      0m31s      -2s  ✅  Esther 10
06:27:56 BLOC_B_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Malachie 1
06:30:47 BLOC_B_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Malachie 2
06:34:01 BLOC_B_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Malachie 3
06:37:20 BLOC_B_SERIE_DU_JOUR              1m05s      1m03s      -2s  ✅  Malachie 4
06:38:23 BLOC_B_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
06:41:28 BLOC_B_SERIE_DU_JOUR              5m41s      5m38s      -3s  ✅  Joël 2
06:47:06 BLOC_B_SERIE_DU_JOUR              3m36s      3m34s      -2s  ✅  Joël 3
06:50:40 BLOC_B_SERIE_DU_JOUR              5m20s      5m17s      -3s  ✅  Néhémie 13
06:55:57 BLOC_B_SERIE_DU_JOUR              3m27s      3m25s      -2s  ✅  Matthieu 1
06:59:22 BLOC_B_SERIE_DU_JOUR              3m40s      3m37s      -3s  ✅  Matthieu 2
07:02:59 BLOC_B_SERIE_DU_JOUR              2m25s      2m24s      -1s  ✅  Matthieu 3
07:05:23 BLOC_B_SERIE_DU_JOUR              3m18s      3m15s      -3s  ✅  Matthieu 4
07:08:38 BLOC_B_SERIE_DU_JOUR              6m28s      6m26s      -2s  ✅  Matthieu 5
07:15:04 BLOC_B_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
07:15:13 BLOC_B_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Guide Me - El ELyon - Abuja HF
07:20:15 BLOC_B_SERIE_DU_JOUR              8m22s      8m19s      -3s  ✅  Yeshua Hamashiach - Calabar HF
07:28:34 BLOC_B_SERIE_DU_JOUR              5m07s      5m03s      -4s  ✅  We Shall Come - Asaba Fellowship
07:33:37 BLOC_B_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  Praise the Lord All Ye Nations - Toronto HF
07:39:47 BLOC_B_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  There's A Mighty River Flowing - SWBN TV
07:44:05 BLOC_B_SERIE_DU_JOUR              5m43s      5m40s      -3s  ✅  Cantique l Éternel est mon Berger (1)
07:49:45 BLOC_B_SERIE_DU_JOUR              5m47s      5m45s      -2s  ✅  We Ascribe Greatness - Abuja HF
07:55:30 BLOC_B_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  10 minutes
08:04:51 BLOC_B_SERIE_DU_JOUR              2m57s      2m55s      -2s  ✅  You Are the Captain of the Host - Toronto HF
08:07:46 BLOC_B_SERIE_DU_JOUR              5m52s      5m50s      -2s  ✅  Not Naked (Abasiama Timothy)
08:13:36 BLOC_B_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
08:13:42 BLOC_B_SERIE_DU_JOUR              2m04s      2m02s      -2s  ✅  Osée 1
08:15:44 BLOC_B_SERIE_DU_JOUR              3m29s      3m27s      -2s  ✅  Osée 2
08:19:11 BLOC_B_SERIE_DU_JOUR              0m57s      0m54s      -3s  ✅  Osée 3
08:20:05 BLOC_B_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Osée 4
08:22:59 BLOC_B_SERIE_DU_JOUR              2m24s      2m21s      -3s  ✅  Osée 5
08:25:20 BLOC_B_SERIE_DU_JOUR              1m32s      1m29s      -3s  ✅  Osée 6
08:26:49 BLOC_B_SERIE_DU_JOUR              2m27s      2m24s      -3s  ✅  Osée 7
08:29:13 BLOC_B_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Osée 8
08:31:16 BLOC_B_SERIE_DU_JOUR              3m04s      3m02s      -2s  ✅  Osée 9
08:34:18 BLOC_B_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Osée 10
08:36:52 BLOC_B_SERIE_DU_JOUR              1m53s      1m51s      -2s  ✅  Osée 11
08:38:43 BLOC_B_SERIE_DU_JOUR              2m04s      2m02s      -2s  ✅  Osée 12
08:40:45 BLOC_B_SERIE_DU_JOUR              2m43s      2m40s      -3s  ✅  Osée 13
08:43:25 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
08:43:35 BLOC_B_SERIE_DU_JOUR              8m12s      8m10s      -2s  ✅  Jesus is Alpha - PHF
08:51:45 BLOC_B_SERIE_DU_JOUR             10m38s     10m36s      -2s  ✅  Be Exalted - PHF
09:02:21 BLOC_B_SERIE_DU_JOUR              7m37s      7m34s      -3s  ✅  Cantiques  Il a pris mes iniquités
09:09:55 BLOC_B_SERIE_DU_JOUR              4m13s      4m10s      -3s  ✅  4 minutes
09:14:05 BLOC_B_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
09:17:44 BLOC_B_SERIE_DU_JOUR              4m14s      4m12s      -2s  ✅  Mon modèle, c est Jésus
09:21:56 BLOC_B_SERIE_DU_JOUR              7m46s      7m43s      -3s  ✅  Arise Out of Zion  - Winnipeg Fellowship
09:29:39 BLOC_B_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  The King is Here (Abasiama Timothy)
09:35:49 BLOC_B_SERIE_DU_JOUR              9m38s      9m35s      -3s  ✅  Holy are You oh Lord (Olaedo Uzoma & Vincent Opara)
09:45:24 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
09:45:32 BLOC_B_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  Hébreux 1
09:47:45 BLOC_B_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  Hébreux 2
09:50:56 BLOC_B_SERIE_DU_JOUR              2m48s      2m45s      -3s  ✅  Hébreux 3
09:53:41 BLOC_B_SERIE_DU_JOUR              2m45s      2m42s      -3s  ✅  Hébreux 4
09:56:23 BLOC_B_SERIE_DU_JOUR              2m17s      2m15s      -2s  ✅  Hébreux 5
09:58:38 BLOC_B_SERIE_DU_JOUR              3m05s      3m02s      -3s  ✅  Hébreux 6
10:01:40 BLOC_B_SERIE_DU_JOUR              4m52s      4m49s      -3s  ✅  Hébreux 7
10:06:29 BLOC_B_SERIE_DU_JOUR              2m45s      2m43s      -2s  ✅  Hébreux 8
10:09:12 BLOC_B_SERIE_DU_JOUR              5m14s      5m12s      -2s  ✅  Hébreux 9
10:14:24 BLOC_B_SERIE_DU_JOUR              5m29s      5m26s      -3s  ✅  Hébreux 10
10:19:50 BLOC_B_SERIE_DU_JOUR              6m47s      6m44s      -3s  ✅  Hébreux 11
10:26:34 BLOC_B_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Hébreux 12
10:31:36 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
10:31:44 BLOC_B_SERIE_DU_JOUR              6m15s      6m13s      -2s  ✅  Oh Lord I Want to Know Your Glory - Port Harcourt HF
10:37:57 BLOC_B_SERIE_DU_JOUR              5m18s      5m16s      -2s  ✅  Now is Come Salvation - Toronto HF
10:43:13 BLOC_B_SERIE_DU_JOUR              9m31s      9m27s      -4s  ✅  15 at 01.33.50 (1)(1)
10:52:40 BLOC_B_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  jai donné ma vie à jésus (1)
10:56:48 BLOC_B_SERIE_DU_JOUR              5m13s      5m11s      -2s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
11:01:59 BLOC_B_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  There is A Mighty River Flowing - Ketu HF
11:09:06 BLOC_B_SERIE_DU_JOUR              4m03s      4m01s      -2s  ✅  I Will Not Be Silent - Calabar HF
11:13:07 BLOC_B_SERIE_DU_JOUR              3m10s      3m06s      -4s  ✅  la Parole
11:16:13 BLOC_B_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Rejoice - PHF
11:22:13 BLOC_B_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  By the word of the lord - Ketu HF
11:27:32 BLOC_B_SERIE_DU_JOUR              6m19s      6m16s      -3s  ✅  Unto Him - CHF
11:33:48 BLOC_B_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 02 radio evangile du royaume
11:33:58 BLOC_B_SERIE_DU_JOUR              3m42s      3m40s      -2s  ✅  2 Pierre 1
11:37:38 BLOC_B_SERIE_DU_JOUR              4m04s      4m01s      -3s  ✅  2 Pierre 2
